{<2025-06-14 07:34:40>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:40>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:42>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:42>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:42>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:42>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:42>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:43>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:45>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:45>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:45>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:46>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:46>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:46>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:47>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:47>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:48>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:48>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:50>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:50>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:51>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:51>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:52>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:52>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:52>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:53>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:53>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:54>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:54>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:54>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:56>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:56>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:57>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:57>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:57>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:57>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:59>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
